RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
11230,NY,New York-Newark-Jersey City,Kings County,New York,54,2260,0.010733453,0.022161918,0.033851784,12110
60625,IL,Chicago-Naperville-Elgin,Cook County,Chicago,55,1660,0.001206273,0,0.027863777,16952
78245,TX,San Antonio-New Braunfels,Bexar County,San Antonio,56,1332,0.005283019,0.016018307,0.034965035,20665
11209,NY,New York-Newark-Jersey City,Kings County,New York,57,2213,-0.011170688,-0.027252747,0.000904568,16061
60629,IL,Chicago-Naperville-Elgin,Cook County,Chicago,58,1534,0.010540184,0.021985343,0.065277778,20857
30096,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,Duluth,59,1544,0.006518905,0.014454665,0.068512111,15488
7030,NJ,New York-Newark-Jersey City,Hudson County,Hoboken,60,2630,-0.010161837,-0.023756496,-0.038039503,22459
60610,IL,Chicago-Naperville-Elgin,Cook County,Chicago,61,1930,0.006781429,0.009414226,0.077610274,28686
11221,NY,New York-Newark-Jersey City,Kings County,New York,62,2459,0.000814001,0,0.045937899,14696
78704,TX,Austin-Round Rock,Travis County,Austin,63,2199,0.011965025,0.025174825,0.074780059,14169
75287,TX,Dallas-Fort Worth-Arlington,Dallas County,Dallas,64,2039,0.01140873,0.024108488,0.026686808,6831
85032,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,65,1489,0.008124577,0.018467852,0.074314574,21678
77077,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,66,2023,0.003970223,0.003970223,-0.012689117,12590
10024,NY,New York-Newark-Jersey City,New York County,New York,67,3863,-0.044285007,-0.083511269,0.009406846,19427
33160,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Sunny Isles Beach,68,2187,-0.001369863,-0.00182565,0.005517241,47888
23464,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,Virginia Beach,69,1591,0.003152585,0.007599747,0.029773463,24731
21234,MD,Baltimore-Columbia-Towson,Baltimore County,Parkville,70,1651,0.000606061,0.001212856,0.007936508,21975
30024,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,Suwanee,71,1961,0.010303967,0.024555904,0.047542735,22848
75243,TX,Dallas-Fort Worth-Arlington,Dallas County,Dallas,72,1549,0.005191434,0.009120521,0.039597315,11403
98052,WA,Seattle-Tacoma-Bellevue,King County,Redmond,73,2710,0.019947309,0.041906959,0.047140649,19798
11214,NY,New York-Newark-Jersey City,Kings County,New York,74,2183,0.005527407,0.005990783,0.031663516,12270
78521,TX,Brownsville-Harlingen,Cameron County,Brownsville,75,868,0.003468208,0.011655012,0.02237927,21537
8701,NJ,New York-Newark-Jersey City,Ocean County,Lakewood,76,1944,0.007253886,0.021544929,0.046849758,21470
77379,TX,Houston-The Woodlands-Sugar Land,Harris County,Spring,77,1873,0.00375134,0.006448146,0.014076881,25086
94501,CA,San Francisco-Oakland-Hayward,Alameda County,Alameda,78,3350,0.001195457,0.00510051,0.021341463,15147
78666,TX,Austin-Round Rock,Hays County,San Marcos,79,1446,0.003469813,0.007665505,0.023354565,11759
11207,NY,New York-Newark-Jersey City,Kings County,New York,80,2204,-0.011215792,-0.025641026,0.003186163,12732
33411,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,Royal Palm Beach,81,2007,0.000997506,0.007024586,0.036673554,30510
11229,NY,New York-Newark-Jersey City,Kings County,New York,82,2219,-0.000900495,-0.004486317,0.01695692,15693
