,UP_INSTNM,Online
136,FLORIDASTATECOLLEGEATJACKSONVILLE,True
137,FLORIDASTATEUNIVERSITY,True
138,FLORIDATECH,True
139,FONTBONNEUNIVERSITY,True
140,FORTVALLEYSTATEUNIVERSITY,True
141,FRAMINGHAMSTATEUNIVERSITY,True
142,FRANCISCANMISSIONARIESOFOURLADYUNIVERSITY,True
143,FRANCISCANUNIVERSITYOFSTEUBENVILLE,True
144,FRIENDSUNIVERSITY,True
145,FROSTBURGSTATEUNIVERSITY,True
146,FULLSAILUNIVERSITY,True
147,GANNONUNIVERSITY,True
148,GARDNERWEBBUNIVERSITY,True
149,GEORGEMASONUNIVERSITY,True
150,THEGEORGEWASHINGTONUNIVERSITY,True
151,GEORGEWASHINGTONUNIVERSITYENGINEERING,True
152,GEORGETOWNCOLLEGE,True
153,GEORGETOWNUNIVERSITY,True
154,GEORGIACOLLEGESTATEUNIVERSITY,True
155,GEORGIAINSTITUTEOFTECHNOLOGY,True
156,GEORGIASOUTHERNUNIVERSITY,True
157,GEORGIASOUTHWESTERNSTATEUNIVERSITY,True
158,GEORGIASTATEUNIVERSITY,True
159,GONZAGAUNIVERSITY,True
160,GRACECOLLEGEANDTHEOLOGICALSEMINARY,True
161,GRANDCANYONUNIVERSITY,True
162,GRANTHAMUNIVERSITY,True
163,HAMLINEUNIVERSITY,True
164,HAMPTONUNIVERSITY,True
165,HAZELDENBETTYFORDGRADUATESCHOOLOFADDICTIONSTUDIES,True
166,HOPEINTERNATIONALUNIVERSITY,True
167,HUNTINGTONUNIVERSITY,True
168,ILLINOISINSTITUTEOFTECHNOLOGY,True
169,IMMACULATAUNIVERSITY,True
170,INDEPENDENCEUNIVERSITY,True
171,INDIANAINSTITUTEOFTECHNOLOGY,True
172,INDIANASTATEUNIVERSITY,True
173,INDIANAUNIVERSITYBLOOMINGTON,True
174,INDIANAUNIVERSITYEAST,True
175,INDIANAUNIVERSITYNORTHWEST,True
176,INDIANAWESLEYANUNIVERSITYONLINE,True
177,INDIANAWESLEYANUNIVERSITYONLINEADULTEDUCATION,True
178,IOWACENTRALCOMMUNITYCOLLEGE,True
179,IOWASTATEUNIVERSITY,True
180,IUPUI,True
181,JACKSONSTATEUNIVERSITY,True
182,JACKSONVILLESTATEUNIVERSITY,True
183,JACKSONVILLEUNIVERSITY,True
184,JAMESMADISONUNIVERSITY,True
185,JOHNBROWNUNIVERSITY,True
186,JOHNSHOPKINSUNIVERSITY,True
187,JOHNSONWALESUNIVERSITYONLINE,True
188,JOHNSONUNIVERSITY,True
189,JUDSONCOLLEGE,True
190,JUDSONUNIVERSITY,True
191,KANSASCHRISTIANCOLLEGE,True
192,KENNESAWSTATEUNIVERSITY,True
193,KENTSTATEUNIVERSITYATKENT,True
194,KENTUCKYSTATEUNIVERSITY,True
195,KENTUCKYWESLEYANCOLLEGE,True
196,KETTERINGUNIVERSITYONLINE,True
197,KINGUNIVERSITY,True
198,LAFILMSCHOOLONLINE,True
199,LAKELANDUNIVERSITY,True
200,LAMARUNIVERSITY,True
201,LEEUNIVERSITY,True
202,LEHIGHUNIVERSITY,True
203,LESLEYUNIVERSITY,True
204,LETOURNEAUUNIVERSITY,True
205,LEWISUNIVERSITY,True
206,LEWISCLARKSTATECOLLEGE,True
207,LIBERTYUNIVERSITY,True
208,LINDENWOODUNIVERSITY,True
209,LOUISIANASTATEUNIVERSITYSHREVEPORT,True
210,LOUISIANASTATEUNIVERSITYALEXANDRIA,True
211,LOUISIANATECHUNIVERSITY,True
212,LOYOLAUNIVERSITYCHICAGO,True
213,LOYOLAUNIVERSITYNEWORLEANS,True
214,LUBBOCKCHRISTIANUNIVERSITY,True
215,LYNNUNIVERSITY,True
216,MALONEUNIVERSITY,True
217,MANHATTANCOLLEGE,True
218,MARIANUNIVERSITYWISCONSIN,True
219,MARSHALLUNIVERSITY,True
220,MARYVILLEUNIVERSITY,True
221,MASSACHUSETTSCOLLEGEOFPHARMACYANDHEALTHSCIENCES,True
222,MCKENDREEUNIVERSITY,True
223,MCNEESESTATEUNIVERSITY,True
224,MERCERUNIVERSITY,True
225,MESSIAHCOLLEGE,True
226,METROPOLITANSTATEUNIVERSITYOFDENVER,True
227,MICHIGANSTATEUNIVERSITY,True
228,MIDDLETENNESSEESTATEUNIVERSITY,True
229,MIDWESTERNBAPTISTTHEOLOGICALSEMINARY,True
230,MIDWESTERNSTATEUNIVERSITY,True
231,MILLERMOTTECOLLEGEONLINE,True
232,MINNESOTASTATEUNIVERSITYATMANKATO,True
233,MINNESOTASTATEUNIVERSITYMOORHEAD,True
234,MINOTSTATEUNIVERSITY,True
235,MISERICORDIAUNIVERSITY,True
236,MISSISSIPPICOLLEGE,True
237,MISSISSIPPISTATEUNIVERSITY,True
238,MISSOURIBAPTISTUNIVERSITY,True
239,MISSOURISOUTHERNSTATEUNIVERSITY,True
240,MISSOURISTATEUNIVERSITY,True
241,MISSOURIUNIVERSITYOFSCIENCEANDTECHNOLOGY,True
242,MONTANASTATEUNIVERSITY,True
243,MONTANASTATEUNIVERSITYNORTHERN,True
244,MOREHEADSTATEUNIVERSITY,True
245,MORNINGSIDECOLLEGE,True
246,MOUNTALOYSIUSCOLLEGE,True
247,MOUNTMERCYUNIVERSITY,True
248,MOUNTVERNONNAZARENEUNIVERSITY,True
249,MURRAYSTATEUNIVERSITY,True
250,NATIONALAMERICANUNIVERSITYONLINE,True
251,NATIONALLOUISUNIVERSITY,True
252,NEBRASKAMETHODISTCOLLEGE,True
253,NEWENGLANDCOLLEGE,True
254,NEWJERSEYINSTITUTEOFTECHNOLOGY,True
255,NEWMEXICOSTATEUNIVERSITY,True
256,NEWYORKUNIVERSITY,True
257,NEWMANUNIVERSITY,True
258,NICHOLLSSTATEUNIVERSITY,True
259,NORTHCAROLINAATSTATEUNIVERSITY,True
260,NORTHCAROLINACENTRALUNIVERSITY,True
261,NORTHCAROLINASTATEUNIVERSITY,True
262,NORTHDAKOTASTATEUNIVERSITYMAINCAMPUS,True
263,NORTHGREENVILLEUNIVERSITY,True
264,NORTHCENTRALUNIVERSITY,True
265,NORTHEASTERNSTATEUNIVERSITY,True
266,NORTHEASTERNUNIVERSITY,True
267,NORTHERNARIZONAUNIVERSITY,True
268,NORTHERNILLINOISUNIVERSITY,True
269,NORTHERNKENTUCKYUNIVERSITY,True
270,NORTHERNMICHIGANUNIVERSITY,True
271,NORTHERNSTATEUNIVERSITY,True
272,NORTHWESTMISSOURISTATEUNIVERSITY,True
273,NORTHWESTNAZARENEUNIVERSITY,True
274,NORTHWESTUNIVERSITY,True
275,NORTHWESTERNSTATEUNIVERSITYOFLOUISIANA,True
276,NORTHWESTERNUNIVERSITY,True
277,NORTHWOODUNIVERSITYMICHIGAN,True
278,NORWICHUNIVERSITY,True
279,NOTREDAMEOFMARYLANDUNIVERSITY,True
280,NOVASOUTHEASTERNUNIVERSITY,True
281,NYACKCOLLEGE,True
282,OAKLANDCITYUNIVERSITY,True
283,OHIOCHRISTIANUNIVERSITY,True
284,OHIOSTATEUNIVERSITYMAINCAMPUS,True
285,OHIOUNIVERSITYMAINCAMPUS,True
286,OKLAHOMACHRISTIANUNIVERSITY,True
287,OKLAHOMASTATEUNIVERSITYMAINCAMPUS,True
288,OKLAHOMAWESLEYANUNIVERSITY,True
289,OLDDOMINIONUNIVERSITY,True
290,OLIVETNAZARENEUNIVERSITY,True
291,ORALROBERTSUNIVERSITY,True
292,OREGONINSTITUTEOFTECHNOLOGY,True
293,OREGONSTATEUNIVERSITY,True
294,OTTAWAUNIVERSITYONLINE,True
295,OURLADYOFTHELAKEUNIVERSITY,True
296,PACIFICOAKSCOLLEGE,True
297,PARKERUNIVERSITYONLINE,True
298,PENNFOSTERHEALTHCARE,True
299,PENNFOSTERCAREERSCHOOL,True
300,PENNFOSTERCOLLEGE,True
301,PENNSYLVANIASTATEUNIVERSITYWORLDCAMPUS,True
302,PEPPERDINEUNIVERSITY,True
303,PFEIFFERUNIVERSITY,True
304,PINNACLECAREERINSTITUTEONLINE,True
305,POINTPARKUNIVERSITY,True
306,PORTLANDSTATEUNIVERSITY,True
307,POSTUNIVERSITYONLINE,True
308,PRESCOTTCOLLEGE,True
309,PURDUEUNIVERSITYMAINCAMPUS,True
310,PURDUEUNIVERSITYGLOBAL,True
311,PURDUEUNIVERSITYNORTHWEST,True
312,QUEENSUNIVERSITYOFCHARLOTTE,True
313,QUINNIPIACUNIVERSITY,True
314,RASMUSSENCOLLEGEONLINE,True
315,REGENTUNIVERSITYONLINE,True
316,REGISCOLLEGE,True
317,REGISUNIVERSITY,True
318,ROCHESTERCOLLEGE,True
319,ROCHESTERINSTITUTEOFTECHNOLOGY,True
320,ROCKHURSTUNIVERSITY,True
321,ROGERSSTATEUNIVERSITY,True
322,ROOSEVELTUNIVERSITY,True
323,ROWANUNIVERSITY,True
324,RUTGERSUNIVERSITY,True
325,SACREDHEARTUNIVERSITY,True
326,SAINTCLOUDSTATEUNIVERSITY,True
327,SAINTFRANCISUNIVERSITY,True
